LocationID,Borough,Zone,service_zone,latitude,longitude,Lat_Long,latitude_dbl,longitude_dbl
55,Brooklyn,Coney Island,Boro Zone,40.576960753637564,-73.98794343407188,40.576960753637564 -73.98794343407188,40.576960753637564,-73.98794343407188
56,Queens,Corona,Boro Zone,40.74140677482956,-73.85884524944,40.74140677482956 -73.85884524944,40.74140677482956,-73.85884524944
57,Queens,Corona,Boro Zone,40.751819366999264,-73.85358156034263,40.751819366999264 -73.85358156034263,40.751819366999264,-73.85358156034263
58,Bronx,Country Club,Boro Zone,40.84145210068231,-73.82039319252782,40.84145210068231 -73.82039319252782,40.84145210068231,-73.82039319252782
59,Bronx,Crotona Park,Boro Zone,40.83855028852771,-73.89498588493974,40.83855028852771 -73.89498588493974,40.83855028852771,-73.89498588493974
60,Bronx,Crotona Park East,Boro Zone,40.83399047727372,-73.88590003419164,40.83399047727372 -73.88590003419164,40.83399047727372,-73.88590003419164
61,Brooklyn,Crown Heights North,Boro Zone,40.67446941826625,-73.93928705867955,40.67446941826625 -73.93928705867955,40.67446941826625,-73.93928705867955
62,Brooklyn,Crown Heights South,Boro Zone,40.666540405785405,-73.94878853931498,40.666540405785405 -73.94878853931498,40.666540405785405,-73.94878853931498
63,Brooklyn,Cypress Hills,Boro Zone,40.68383976195084,-73.87817261050249,40.68383976195084 -73.87817261050249,40.68383976195084,-73.87817261050249
64,Queens,Douglaston,Boro Zone,40.76061560532138,-73.7393371499285,40.76061560532138 -73.7393371499285,40.76061560532138,-73.7393371499285
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,40.695337529460986,-73.98608600498395,40.695337529460986 -73.98608600498395,40.695337529460986,-73.98608600498395
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,40.7022589388223,-73.98570161582278,40.7022589388223 -73.98570161582278,40.7022589388223,-73.98570161582278
67,Brooklyn,Dyker Heights,Boro Zone,40.619619467834944,-74.01380148744013,40.619619467834944 -74.01380148744013,40.619619467834944,-74.01380148744013
68,Manhattan,East Chelsea,Yellow Zone,40.74842755506554,-73.99991742024714,40.74842755506554 -73.99991742024714,40.74842755506554,-73.99991742024714
69,Bronx,East Concourse/Concourse Village,Boro Zone,40.83141669708498,-73.91502929553266,40.83141669708498 -73.91502929553266,40.83141669708498,-73.91502929553266
70,Queens,East Elmhurst,Boro Zone,40.763352201132975,-73.86839559842015,40.763352201132975 -73.86839559842015,40.763352201132975,-73.86839559842015
71,Brooklyn,East Flatbush/Farragut,Boro Zone,40.64428817438895,-73.93796627061685,40.64428817438895 -73.93796627061685,40.64428817438895,-73.93796627061685
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,40.65236480407718,-73.92225097400487,40.65236480407718 -73.92225097400487,40.65236480407718,-73.92225097400487
73,Queens,East Flushing,Boro Zone,40.75410888689277,-73.80729418212232,40.75410888689277 -73.80729418212232,40.75410888689277,-73.80729418212232
74,Manhattan,East Harlem North,Boro Zone,40.80116948058628,-73.93734560812489,40.80116948058628 -73.93734560812489,40.80116948058628,-73.93734560812489
75,Manhattan,East Harlem South,Boro Zone,40.7900107514952,-73.94575026755157,40.7900107514952 -73.94575026755157,40.7900107514952,-73.94575026755157
76,Brooklyn,East New York,Boro Zone,40.660935196550405,-73.87682061127202,40.660935196550405 -73.87682061127202,40.660935196550405,-73.87682061127202
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,40.66655893903507,-73.89536411750329,40.66655893903507 -73.89536411750329,40.66655893903507,-73.89536411750329
78,Bronx,East Tremont,Boro Zone,40.84496041014594,-73.88552181587433,40.84496041014594 -73.88552181587433,40.84496041014594,-73.88552181587433
79,Manhattan,East Village,Yellow Zone,40.72762019590936,-73.98593745682464,40.72762019590936 -73.98593745682464,40.72762019590936,-73.98593745682464
80,Brooklyn,East Williamsburg,Boro Zone,40.715369882143314,-73.93679314491878,40.715369882143314 -73.93679314491878,40.715369882143314,-73.93679314491878
81,Bronx,Eastchester,Boro Zone,40.88093541148925,-73.83664334408299,40.88093541148925 -73.83664334408299,40.88093541148925,-73.83664334408299
